score,episodes,duration,popularity,favorites,scored_by,Cluster,genres,type,rating
6.96,28.5,10.0,10432.0,7.0,1449.0,1,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.96,1.0,2.0,4887.0,23.0,8081.0,1,Comedy,G - All Ages,G - All Ages
6.96,16.0,19.0,9926.0,37.0,976.0,1,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.96,28.5,25.0,9016.0,19.0,1686.0,1,Adventure,G - All Ages,G - All Ages
6.96,1.0,1.0,6903.0,6.000000000000007,1667.0,1,Comedy,G - All Ages,G - All Ages
6.96,1.0,27.0,7193.0,9.000000000000007,3971.0,1,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.96,1.0,21.0,9740.0,1.0,1321.0,1,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.96,13.0,23.0,461.0,229.5,37650.25,0,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
6.96,6.0,24.0,3027.0,164.0,29886.0,0,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
6.96,1.0,27.0,2312.0,111.0,37650.25,0,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.96,1.0,27.0,5672.0,12.0,7415.0,1,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.96,2.0,23.0,10154.0,1.0,1115.0,1,Adventure,G - All Ages,G - All Ages
6.96,26.0,25.0,7338.0,27.0,2244.0,1,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.96,12.0,24.0,4390.0,52.0,11379.0,2,Adventure,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.96,28.5,23.0,2348.0,229.5,37650.25,0,Adventure,PG - Children,PG - Children
6.96,13.0,24.0,1907.0,201.0,37650.25,0,Drama,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.96,1.0,6.0,3391.0,63.0,27243.0,0,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.96,6.0,15.0,5677.0,62.0,6461.0,1,Mystery,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.96,25.0,24.0,2481.0,216.0,30305.0,0,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.96,12.0,24.0,5895.0,45.0,2311.0,1,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
6.96,12.0,24.0,1008.0000000000009,229.5,37650.25,0,Drama,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.96,1.0,1.0,7563.0,1.0,3208.0,1,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.96,16.0,23.0,310.0,229.5,37650.25,0,Adventure,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
6.95,2.0,23.0,11189.0,5.0,251.0,1,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.95,1.0,9.0,9599.0,9.000000000000007,1708.0,1,Fantasy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.95,1.0,15.0,6913.0,42.0,4147.0,1,Hentai,Rx - Hentai,Rx - Hentai
6.95,1.0,28.0,5890.0,77.0,5436.0,1,Hentai,Rx - Hentai,Rx - Hentai
6.95,4.0,22.0,6177.0,76.0,4486.0,1,Hentai,Rx - Hentai,Rx - Hentai
6.95,1.0,26.0,8086.0,35.0,2342.0,1,Hentai,Rx - Hentai,Rx - Hentai
6.95,1.0,26.0,7452.0,18.0,3012.0,1,Hentai,Rx - Hentai,Rx - Hentai
6.95,12.0,23.0,4309.0,20.0,13042.0,2,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.95,12.0,23.0,1853.0,229.5,37650.25,0,Drama,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.95,1.0,14.0,3103.0,33.0,27089.0,0,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.95,11.0,2.0,5118.0,11.0,9993.0,2,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.95,2.0,17.0,6975.0,29.0,3280.0,1,Hentai,Rx - Hentai,Rx - Hentai
6.95,4.0,24.0,291.0,229.5,37650.25,0,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.95,12.0,23.0,1261.0,229.5,37650.25,0,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.95,4.0,7.0,7552.0,6.000000000000007,2866.0,1,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.95,1.0,1.0,6614.0,19.0,3404.0,1,Drama,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
6.95,12.0,23.0,3349.0,111.0,16904.0,2,Adventure,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
6.95,1.0,1.0,9716.0,2.999999999999993,1941.0,1,Adventure,G - All Ages,G - All Ages
6.95,8.0,25.0,1264.0,229.5,37650.25,0,Action,R+ - Mild Nudity,R+ - Mild Nudity
6.95,2.0,23.0,4712.0,14.0,10677.0,2,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
