score,genres,type,episodes,duration,rating,popularity,favorites,scored_by
7.32,Gourmet,PG-13 - Teens 13 or older,2.0,25.0,PG-13 - Teens 13 or older,1874,80.0,37650.25
7.32,Comedy,PG-13 - Teens 13 or older,12.0,23.0,PG-13 - Teens 13 or older,975,229.5,37650.25
7.32,Comedy,G - All Ages,1.0,10.0,G - All Ages,4157,35.0,16593.0
7.32,Adventure,R+ - Mild Nudity,7.0,28.0,R+ - Mild Nudity,6288,68.0,4971.0
7.32,Drama,PG-13 - Teens 13 or older,28.5,24.0,PG-13 - Teens 13 or older,5816,109.0,4409.0
7.32,Drama,PG-13 - Teens 13 or older,1.0,1.0,PG-13 - Teens 13 or older,2776,219.0,28337.0
7.32,Action,PG-13 - Teens 13 or older,1.0,1.0,PG-13 - Teens 13 or older,1485,201.0,37650.25
7.32,Sports,PG-13 - Teens 13 or older,1.0,1.0,PG-13 - Teens 13 or older,4906,26.0,12285.0
7.32,Comedy,PG-13 - Teens 13 or older,1.0,26.0,PG-13 - Teens 13 or older,3974,7.0,19757.0
7.32,Adventure,G - All Ages,26.0,24.0,G - All Ages,7188,59.0,3693.0
7.32,Adventure,PG - Children,26.0,24.0,PG - Children,4278,158.0,16495.0
7.32,Action,PG-13 - Teens 13 or older,12.0,25.0,PG-13 - Teens 13 or older,2714,229.5,19522.0
7.32,Adventure,G - All Ages,28.5,25.0,G - All Ages,6679,68.0,4458.0
7.32,Avant Garde,PG-13 - Teens 13 or older,1.0,32.0,PG-13 - Teens 13 or older,2487,229.5,37650.25
7.32,Adventure,PG-13 - Teens 13 or older,1.0,25.0,PG-13 - Teens 13 or older,5398,13.0,9008.0
7.32,Fantasy,PG-13 - Teens 13 or older,12.0,23.0,PG-13 - Teens 13 or older,1548,229.5,37650.25
7.32,Comedy,G - All Ages,28.5,24.0,G - All Ages,3022,229.5,25613.0
7.32,Award Winning,PG - Children,28.5,24.0,PG - Children,7492,47.0,2986.0
7.32,Action,PG-13 - Teens 13 or older,16.0,3.0,PG-13 - Teens 13 or older,4731,23.0,7304.0
7.32,Drama,PG-13 - Teens 13 or older,11.0,23.0,PG-13 - Teens 13 or older,2190,229.5,30868.0
7.32,Action,PG-13 - Teens 13 or older,12.0,23.0,PG-13 - Teens 13 or older,739,229.5,37650.25
7.32,Action,PG-13 - Teens 13 or older,1.0,45.0,PG-13 - Teens 13 or older,7197,2.0,3649.0
7.32,Comedy,PG-13 - Teens 13 or older,4.0,28.0,PG-13 - Teens 13 or older,1312,215.0,37650.25
7.32,Mystery,R - 17+ (violence & profanity),11.0,24.0,R - 17+ (violence & profanity),1602,229.5,37650.25
7.32,Comedy,PG-13 - Teens 13 or older,1.0,15.0,PG-13 - Teens 13 or older,4521,17.0,12983.0
7.32,Sports,PG-13 - Teens 13 or older,12.0,23.0,PG-13 - Teens 13 or older,249,229.5,37650.25
7.32,Comedy,PG-13 - Teens 13 or older,3.0,28.0,PG-13 - Teens 13 or older,4830,31.0,9920.0
7.32,Adventure,PG-13 - Teens 13 or older,3.0,29.0,PG-13 - Teens 13 or older,5043,22.0,10513.0
7.32,Action,PG-13 - Teens 13 or older,1.0,1.0,PG-13 - Teens 13 or older,1201,229.5,37650.25
7.31,Action,PG-13 - Teens 13 or older,16.0,23.0,PG-13 - Teens 13 or older,14474,4.0,344.0
7.31,Drama,PG-13 - Teens 13 or older,12.0,22.0,PG-13 - Teens 13 or older,2620,229.5,24162.0
7.31,unknown,G - All Ages,1.0,3.0,G - All Ages,11859,4.0,1162.0
7.31,Comedy,PG-13 - Teens 13 or older,12.0,23.0,PG-13 - Teens 13 or older,1693,229.5,37650.25
7.31,Fantasy,PG-13 - Teens 13 or older,1.0,47.0,PG-13 - Teens 13 or older,6423,14.0,5100.0
7.31,unknown,PG-13 - Teens 13 or older,1.0,3.0,PG-13 - Teens 13 or older,10953,19.0,1598.0
7.31,Hentai,Rx - Hentai,3.0,32.0,Rx - Hentai,5691,153.0,5991.0
7.31,Comedy,PG-13 - Teens 13 or older,2.0,25.0,PG-13 - Teens 13 or older,3769,27.0,23073.0
7.31,Drama,PG-13 - Teens 13 or older,22.0,23.0,PG-13 - Teens 13 or older,1393,229.5,37650.25
7.31,Slice of Life,G - All Ages,1.0,2.0,G - All Ages,2574,133.0,37650.25
7.31,Comedy,PG-13 - Teens 13 or older,13.0,3.0,PG-13 - Teens 13 or older,1256,188.0,37650.25
7.31,Slice of Life,PG-13 - Teens 13 or older,12.0,24.0,PG-13 - Teens 13 or older,2040,229.5,37650.25
7.31,Action,PG-13 - Teens 13 or older,23.0,24.0,PG-13 - Teens 13 or older,932,229.5,37650.25
7.31,Action,PG-13 - Teens 13 or older,28.5,8.0,PG-13 - Teens 13 or older,5443,152.0,7298.0
